연번,행정동,주소,데이터기준일자,위도,경도
52.0,개봉2동,서울 구로구 서해안로34가길 50,2024-06-07,37.4940444571876,126.850033290391
53.0,개봉2동,서울 구로구 개봉로19길 133,2024-06-07,37.4949800645335,126.85074677602
54.0,개봉2동,서울 구로구 개봉로17나길 100-13,2024-06-07,37.4948994253104,126.850249037202
55.0,개봉2동,서울 구로구 개봉동 310-1,2024-06-07,37.494813513293,126.84971602853
56.0,개봉2동,서울 구로구 서해안로34길 16,2024-06-07,37.4946268227335,126.849078284181
57.0,개봉2동,서울 구로구 서해안로34길 10-7,2024-06-07,37.4943969751473,126.849007053297
58.0,개봉2동,서울 구로구 서해안로34길 10,2024-06-07,37.4945466533565,126.848741802488
59.0,개봉2동,서울 구로구 서해안로34가길 27,2024-06-07,37.493988749743,126.848741344502
60.0,개봉2동,서울 구로구 서해안로34가길 13,2024-06-07,37.4941002850248,126.848452877061
61.0,개봉2동,서울 구로구 서해안로 2378,2024-06-07,37.4944392555451,126.848321809594
62.0,개봉2동,서울 구로구 서해안로 2368,2024-06-07,37.494103212466,126.84743718097
63.0,개봉3동,서울 구로구 개봉로3가길 82-39,2024-06-07,37.4837723451161,126.851458657593
64.0,개봉3동,서울 구로구 개봉로3가길 88-26,2024-06-07,37.4835887548584,126.851486608862
65.0,개봉3동,서울 구로구 개봉로1길 158,2024-06-07,37.4819626611539,126.850237775133
66.0,개봉3동,서울 구로구 개봉로1라길 4-1,2024-06-07,37.4820765385654,126.850300975907
67.0,개봉3동,서울 구로구 개봉로1다길 33-3,2024-06-07,37.4821438352499,126.851149941795
68.0,개봉3동,서울 구로구 개봉로1다길 13-25,2024-06-07,37.4819163077185,126.851561374471
69.0,개봉3동,서울 구로구 개봉로1길 106,2024-06-07,37.4825399111465,126.852653688092
70.0,개봉3동,서울 구로구 개봉로3가길 87,2024-06-07,37.4826116174315,126.852498085227
71.0,개봉3동,서울 구로구 개봉로3가길 69,2024-06-07,37.4832287540589,126.853250784385
72.0,개봉3동,서울 구로구 개봉로1나길 1,2024-06-07,37.4837268252569,126.853754645418
73.0,개봉3동,서울 구로구 개봉로1길 50,2024-06-07,37.4846108988644,126.854195916046
74.0,개봉3동,서울 구로구 개봉로3가길 40,2024-06-07,37.4846415612928,126.853635725655
75.0,개봉3동,서울 구로구 개봉로1나길 34,2024-06-07,37.4848223986798,126.852625122423
76.0,개봉3동,서울 구로구 개봉로1나길 44,2024-06-07,37.4851567555932,126.852475103945
77.0,개봉3동,서울 구로구 개봉로3길 102,2024-06-07,37.485990740498,126.850620499076
78.0,개봉3동,서울 구로구 개봉로5길 73,2024-06-07,37.4864545029352,126.851560875928
79.0,개봉3동,서울 구로구 개봉로5길 59,2024-06-07,37.4864946539389,126.852324691739
80.0,개봉3동,서울 구로구 개봉로5길 37,2024-06-07,37.4866124415955,126.853503546963
81.0,개봉3동,서울 구로구 개봉로3길 69,2024-06-07,37.4860271529923,126.852350147818
82.0,개봉3동,서울 구로구 개봉로1나길 46-17,2024-06-07,37.4854684240114,126.853278967191
83.0,개봉3동,서울 구로구 개봉로1가길 37,2024-06-07,37.4855916359073,126.853241979199
84.0,개봉3동,서울 구로구 개봉로3길 43,2024-06-07,37.4861456622196,126.853820824484
85.0,개봉3동,서울 구로구 개봉로1길 30,2024-06-07,37.4855356444489,126.854668324928
86.0,개봉3동,서울 구로구 개봉로1가길 11,2024-06-07,37.485695519369,126.854771020145
87.0,개봉3동,서울 구로구 개봉로1길 22,2024-06-07,37.4857684939638,126.854985369014
88.0,개봉3동,서울특별시 구로구 개봉로6길 12-5,2024-06-07,37.4866119253724,126.857651157607
89.0,개봉3동,서울 구로구 개봉로10길 22,2024-06-07,37.4875979697145,126.857710910224
90.0,개봉3동,서울 구로구 개봉로10길 35,2024-06-07,37.4879292380886,126.858584775584
